YT:7lhlDCYiyME,1681,19,7,"","2018-06-05 16:05:11.408 UTC"
YT:tcS3s31xCJU,4129,97,10,"","2018-06-07 07:24:02.217 UTC"
YT:fcuPHsggnp8,1108,14,6,"","2018-06-04 12:23:42.173 UTC"
YT:413TBTOkESs,18182,1159,111,"","2018-06-01 03:36:10.652 UTC"
YT:VG2oILAFJPQ,8795,390,10,"","2018-06-01 08:36:44.994 UTC"
YT:YCOA-ktUCCE,770,102,8,"","2018-06-01 15:10:54.656 UTC"
YT:n5bFXcur2Bc,213,41,8,"","2018-06-06 03:42:17.537 UTC"
YT:Md5dEAGToiQ,393,16,6,"","2018-06-04 20:24:29.75 UTC"
YT:vLlHQiwPABE,505,55,6,"","2018-06-05 02:56:35.224 UTC"
YT:bkWA5k-fozo,328,33,11,"","2018-06-05 20:54:34.996 UTC"
YT:0ymEHK92mpY,150,14,7,"",